Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,81700.000000,82300.000000,81700.000000,82300.000000,80765.468750,17047511
2021-05-07,81800.000000,82100.000000,81500.000000,81900.000000,80372.937500,14154882
2021-05-10,82300.000000,83500.000000,81800.000000,83200.000000,81648.695313,19385027
2021-05-11,82500.000000,82600.000000,81100.000000,81200.000000,79685.984375,28996680
2021-05-12,80800.000000,81200.000000,79800.000000,80000.000000,78508.351563,35812268
2021-05-13,78900.000000,79600.000000,78400.000000,78500.000000,77036.328125,31490096
2021-05-14,79000.000000,80300.000000,78900.000000,80100.000000,78606.484375,16450920
2021-05-17,80800.000000,80900.000000,79200.000000,79600.000000,78115.820313,17740855
2021-05-18,79600.000000,80000.000000,79100.000000,79600.000000,78115.820313,17494407
2021-05-20,79400.000000,79700.000000,79100.000000,79500.000000,78017.671875,16541828
2021-05-21,80100.000000,81500.000000,79800.000000,80100.000000,78606.484375,20961714
2021-05-24,80100.000000,80400.000000,79500.000000,79700.000000,78213.945313,13398666
2021-05-25,80000.000000,80400.000000,79800.000000,79900.000000,78410.218750,13628942
2021-05-26,80400.000000,80500.000000,79700.000000,79800.000000,78312.085938,11984359
2021-05-27,80000.000000,80000.000000,79100.000000,79600.000000,78115.820313,23198510
2021-05-28,79800.000000,80400.000000,79400.000000,80100.000000,78606.484375,12360199
2021-05-31,80300.000000,80600.000000,79600.000000,80500.000000,78999.023438,13321324
2021-06-01,80500.000000,81300.000000,80100.000000,80600.000000,79097.164063,14058401
2021-06-02,80400.000000,81400.000000,80300.000000,80800.000000,79293.445313,16414644
2021-06-03,81300.000000,83000.000000,81100.000000,82800.000000,81256.148438,29546007
2021-06-04,82700.000000,82700.000000,81500.000000,82200.000000,80667.335938,18112259
2021-06-07,82700.000000,82800.000000,81600.000000,81900.000000,80372.937500,16496197
2021-06-08,82300.000000,82600.000000,81800.000000,81900.000000,80372.937500,12781226
2021-06-09,81500.000000,82000.000000,81100.000000,81100.000000,79587.851563,14908823
2021-06-10,81300.000000,81400.000000,80900.000000,81000.000000,79489.710938,17586995
2021-06-11,81200.000000,81700.000000,80700.000000,81000.000000,79489.710938,14087962
2021-06-14,80800.000000,80900.000000,80500.000000,80500.000000,78999.023438,10550078
2021-06-15,80900.000000,81200.000000,80600.000000,80900.000000,79391.578125,10075685
2021-06-16,81500.000000,81900.000000,81100.000000,81800.000000,80274.789063,14999855
2021-06-17,81100.000000,81300.000000,80700.000000,80900.000000,79391.578125,14007385
2021-06-18,81100.000000,81100.000000,80500.000000,80500.000000,78999.023438,14916721
2021-06-21,79700.000000,80000.000000,79600.000000,79900.000000,78410.218750,16063340
2021-06-22,80200.000000,80300.000000,79900.000000,80000.000000,78508.351563,11773365
2021-06-23,80500.000000,80600.000000,79900.000000,80100.000000,78606.484375,13856548
2021-06-24,80400.000000,81400.000000,80100.000000,81200.000000,79685.984375,18771080
2021-06-25,81500.000000,81900.000000,81200.000000,81600.000000,80078.531250,13481405
2021-06-28,81700.000000,82000.000000,81600.000000,81900.000000,80372.937500,11578529
2021-06-29,81900.000000,82100.000000,80800.000000,81000.000000,79841.640625,15744317
2021-06-30,81100.000000,81400.000000,80700.000000,80700.000000,79545.929688,13288643
2021-07-01,80500.000000,80600.000000,80000.000000,80100.000000,78954.500000,13382882
2021-07-02,80000.000000,80400.000000,79900.000000,80000.000000,78855.937500,8753097
2021-07-05,80100.000000,80800.000000,80000.000000,80400.000000,79250.218750,8330969
2021-07-06,80600.000000,81200.000000,80500.000000,81200.000000,80038.781250,12131651
2021-07-07,81200.000000,81300.000000,80300.000000,80800.000000,79644.507813,15992202
2021-07-08,81100.000000,81200.000000,79900.000000,79900.000000,78757.367188,16660998
2021-07-09,79600.000000,79800.000000,79000.000000,79400.000000,78264.515625,22720577
2021-07-12,79900.000000,80000.000000,79500.000000,79700.000000,78560.226563,9768108
2021-07-13,80000.000000,80200.000000,79800.000000,79800.000000,78658.796875,9863450
2021-07-14,79400.000000,79600.000000,79100.000000,79500.000000,78363.085938,11575636
2021-07-15,79800.000000,80600.000000,79500.000000,80600.000000,79447.351563,13766279
2021-07-16,80100.000000,80100.000000,79500.000000,79800.000000,78658.796875,10859399
2021-07-19,79100.000000,79200.000000,78800.000000,79000.000000,77870.242188,13155414
2021-07-20,78500.000000,79000.000000,78400.000000,79000.000000,77870.242188,12456646
2021-07-21,79000.000000,79100.000000,78500.000000,78500.000000,77377.390625,12355296
2021-07-22,79000.000000,79800.000000,78900.000000,79700.000000,78560.226563,12618790
2021-07-23,79700.000000,79900.000000,79200.000000,79300.000000,78165.945313,9098910
2021-07-26,79400.000000,79500.000000,78800.000000,78800.000000,77673.101563,10040975
2021-07-27,79200.000000,79400.000000,78500.000000,78500.000000,77377.390625,11427693
2021-07-28,78300.000000,79200.000000,78100.000000,79200.000000,78067.382813,12743417
2021-07-29,78800.000000,79400.000000,78800.000000,79000.000000,77870.242188,14360453
2021-07-30,78900.000000,78900.000000,78500.000000,78500.000000,77377.390625,13823411
2021-08-02,79200.000000,79500.000000,78700.000000,79300.000000,78165.945313,11739124
2021-08-03,79400.000000,81400.000000,79300.000000,81400.000000,80235.921875,24339360
2021-08-04,82200.000000,83100.000000,81800.000000,82900.000000,81714.460938,25642368
2021-08-05,83300.000000,83300.000000,82000.000000,82100.000000,80925.906250,18485469
2021-08-06,81900.000000,82500.000000,81300.000000,81500.000000,80334.492188,13342623
2021-08-09,81500.000000,82300.000000,80900.000000,81500.000000,80334.492188,15522581
2021-08-10,82300.000000,82400.000000,80100.000000,80200.000000,79053.078125,20362639
2021-08-11,79600.000000,79800.000000,78500.000000,78500.000000,77377.390625,30241137
2021-08-12,77100.000000,78200.000000,76900.000000,77000.000000,75898.843750,42365223
2021-08-13,75800.000000,76000.000000,74100.000000,74400.000000,73336.015625,61270643
2021-08-17,74000.000000,75100.000000,74000.000000,74200.000000,73138.882813,30944847
2021-08-18,73900.000000,74600.000000,73100.000000,73900.000000,72843.179688,29192631
